Time,Close,Cum_Return,Volume,Value,symbol,period,limit,maker_fr,taker_fr,Recomandation,Buy,Sell,Neutral
2024-09-29 22:15:00,0.052971,1.0115532979414121,746.21978281,39.54966655502984,PDAUSDT,15min,48,0.003,0.003,SELL,4,13,9
2024-09-29 22:15:00,0.073354,0.9766729688706627,801.6975166,58.78628565333126,BLOCXUSDT,15min,48,0.003,0.003,SELL,6,12,8
2024-09-29 22:15:00,25.5497,1.0080526797550666,0.746,19.07936295,DASHUSDT,15min,48,0.002,0.002,SELL,3,16,7
2024-09-29 22:15:00,0.041594,0.8793471596794996,3006.81995493,123.59984112906088,BDCUSDT,15min,48,0.003,0.003,BUY,11,6,9
2024-09-29 22:15:00,2.4164,1.0359699892818857,7.48,18.1380275,MASKUSDT,15min,48,0.002,0.002,BUY,13,4,9
2024-09-29 22:15:00,0.002737,1.0152077151335308,7435.0,20.3004,MOXIEUSDT,15min,48,0.003,0.003,BUY,14,2,10
2024-09-29 22:15:00,3.2587,1.0007677661077332,7.4,24.154906,INDEXUSDT,15min,48,0.003,0.003,STRONG_SELL,1,16,9
2024-09-29 22:15:00,0.9139,0.9968368237347295,79.05949032,72.402989336992,WEMIXUSDT,15min,48,0.003,0.003,BUY,11,5,10
2024-09-29 22:15:00,0.089134,1.0456705106697477,742.30958415,66.138275639448,ASTUSDT,15min,48,0.003,0.003,BUY,13,5,8
2024-09-29 22:15:00,0.101411,1.019544170428383,748.5,75.94792,XLMUSDT,15min,48,0.002,0.002,BUY,13,4,9
2024-09-29 22:15:00,2.3118,1.0755559691076582,31.1058564,71.617427801853,ORCAUSDT,15min,48,0.003,0.003,STRONG_BUY,17,1,8
2024-09-29 22:15:00,0.5737,1.0006977149834293,74.3,42.63608,SOVUSDT,15min,48,0.003,0.003,NEUTRAL,9,8,9
2024-09-29 22:15:00,0.003649,0.9918456102201686,12350.95368594,45.08382499999506,VRAUSDT,15min,48,0.003,0.003,SELL,4,13,9
2024-09-29 22:15:00,0.2539,1.0359037127702977,142.82954955,35.999148568987,SOLSUSDT,15min,48,0.003,0.003,SELL,3,14,9
2024-09-29 22:15:00,0.043596,1.000688610384245,29976.85220747,1306.442877176611,IOTXUSDT,15min,48,0.002,0.002,SELL,5,15,6
2024-09-29 22:15:00,1.6977,1.0254907882814854,14.86,25.211116,LYXUSDT,15min,48,0.003,0.003,BUY,15,1,10
2024-09-29 22:15:00,0.079536,1.0231684569370294,751.5,59.8867165,MASAUSDT,15min,48,0.003,0.003,SELL,4,14,8
2024-09-29 22:15:00,0.2756,1.0255914082531081,440.54751422,121.89853954274881,BAKEUSDT,15min,48,0.003,0.003,NEUTRAL,7,10,9
2024-09-29 22:15:00,0.4712,1.0120274914089349,80.57069233,37.920982628017,CRUUSDT,15min,48,0.003,0.003,BUY,15,1,10
2024-09-29 22:15:00,0.0006312,1.1036508602601764,74550.0,47.019136,UWUUSDT,15min,48,0.003,0.003,BUY,15,1,10
2024-09-29 22:15:00,0.006825,0.9998535013184882,8385.94747945,57.27558190995922,IMGNAIUSDT,15min,48,0.003,0.003,SELL,2,16,8
2024-09-29 22:15:00,0.004206,0.993856332703214,7385.0,31.151535,HIGHERUSDT,15min,48,0.003,0.003,BUY,12,4,10
2024-09-29 22:15:00,0.08067,1.0134422110552763,843.92257188,68.10917738625002,NKNUSDT,15min,48,0.003,0.003,SELL,5,13,8
2024-09-29 22:15:00,2.6928,1.04538219651384,22.8779,61.61898733,ACEUSDT,15min,48,0.003,0.003,BUY,13,5,8
2024-09-29 22:15:00,0.6481,1.0185447116140185,3337.94568635,2159.002536556807,ARBUSDT,15min,48,0.002,0.002,BUY,14,3,9
2024-09-29 22:15:00,0.403142,0.9598230547811163,74.9,30.2410418,THORUSDT,15min,48,0.003,0.003,SELL,7,10,9
2024-09-29 22:15:00,0.103221,1.0010279784706388,150.7,15.5801104,ALEXUSDT,15min,48,0.003,0.003,BUY,10,6,10
2024-09-29 22:15:00,0.002699,1.0067139127191345,8463.158079,22.8731663773337,APPUSDT,15min,48,0.003,0.003,BUY,14,4,8
2024-09-29 22:15:00,0.18794,1.0638574881551464,159.5162128,29.9628115673842,VOXELUSDT,15min,48,0.003,0.003,STRONG_BUY,16,1,9
2024-09-29 22:15:00,0.02616,1.1865559940127912,953.75223894,24.97811391345061,SEILORUSDT,15min,48,0.003,0.003,NEUTRAL,9,7,10
2024-09-29 22:15:00,1.3739,1.0828341740226988,15.89890628,21.88053004128,PATEXUSDT,15min,48,0.003,0.003,SELL,6,10,10
2024-09-29 22:15:00,0.068637,0.9872418157758474,741.5,50.8218805,STARUSDT,15min,48,0.003,0.003,BUY,15,5,6
2024-09-29 22:15:00,1.1351,0.9958764695560623,16.09,18.269665,ZKJUSDT,15min,48,0.003,0.003,BUY,11,5,10
2024-09-29 22:15:00,0.00015107,1.0199162840939773,136400.0,20.683061,RATSUSDT,15min,48,0.003,0.003,BUY,14,2,10
2024-09-29 22:15:00,0.0068,0.9646758405447581,7410.0,50.38108,RPKUSDT,15min,48,0.003,0.003,SELL,3,14,9
2024-09-29 22:15:00,0.049722,1.0113703394829445,741.5,36.897515,BETAUSDT,15min,48,0.003,0.003,SELL,4,15,7
2024-09-29 22:15:00,0.096362,1.0076123554384424,739.0,71.1619885,GAMMAUSDT,15min,48,0.003,0.003,STRONG_BUY,16,0,10
2024-09-29 22:15:00,0.4343,1.0782025819265144,74.32431296,32.259539375408,TNSRUSDT,15min,48,0.003,0.003,BUY,13,4,9
2024-09-29 22:15:00,0.016108,1.01807609657439,1476.0,23.765996,ZILUSDT,15min,48,0.002,0.002,BUY,14,3,9
2024-09-29 22:15:00,0.025853,1.0214943300802082,783.36118484,20.24989882315174,VETUSDT,15min,48,0.002,0.002,BUY,11,6,9
2024-09-29 22:15:00,0.3292,1.006112469437653,80.3,26.457055,KUJIUSDT,15min,48,0.003,0.003,STRONG_SELL,0,18,8
2024-09-29 22:15:00,2.5897e-06,0.9300413000538699,24256253.79626368,62.98222101180689,GINNANUSDT,15min,48,0.003,0.003,SELL,4,12,10
2024-09-29 22:15:00,0.0015089,1.035329797380284,14840.0,22.3660449,XCNUSDT,15min,48,0.003,0.003,NEUTRAL,8,8,10
2024-09-29 22:15:00,0.6644,0.9981971153846162,303.21484991,201.373411696506,UXLINKUSDT,15min,48,0.003,0.003,NEUTRAL,10,8,8
2024-09-29 22:15:00,1.3281,1.026114502047439,14.99,19.943871,BANDUSDT,15min,48,0.003,0.003,NEUTRAL,9,7,10
2024-09-29 22:15:00,0.501,0.9468909468909471,79.9,40.153105,ARKUSDT,15min,48,0.003,0.003,BUY,15,1,10
2024-09-29 22:15:00,0.003167,0.9893783192752267,21557.43978846,67.95040766260915,GRAMUSDT,15min,48,0.003,0.003,SELL,5,11,10
2024-09-29 22:15:00,0.005207,0.9963643321852275,9833.27614109,51.23623673747012,KEYUSDT,15min,48,0.003,0.003,BUY,13,4,9
2024-09-29 22:15:00,0.314,1.0540449815374284,480.60445327,151.071806102554,WUSDT,15min,48,0.003,0.003,BUY,14,3,9
2024-09-29 22:15:00,0.060644,0.9942943336831056,802.0,48.644373,LOOMUSDT,15min,48,0.003,0.003,BUY,15,2,9
2024-09-29 22:15:00,0.00017076,1.0774861181221607,1125041.12448357,193.4105341273665,ANDYUSDT,15min,48,0.003,0.003,BUY,12,4,10
2024-09-29 22:15:00,0.020071,0.9235689306092396,14625.42831645,290.8646350322031,DOGEGOVUSDT,15min,48,0.003,0.003,SELL,2,15,9
